image_url,book_title,product_price
../media/cache/7e/93/7e934132cd03486649fb492fe702f704.jpg,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
../media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,A Year in Provence (Provence #1),£56.88
../media/cache/db/e4/dbe49e1cb06136eeb51182f551ccdc52.jpg,The Expatriates,£44.58
../media/cache/05/74/0574a71ccaff1fef1f8e9a1f4c22b7bc.jpg,Kill the Boy Band,£15.52
../media/cache/eb/17/eb178eceef1e9290591cabd5155571a3.jpg,America's War for the Greater Middle East: A Military History,£51.22
../media/cache/27/b7/27b7f4ec590965b5acc15dc4b1376684.jpg,Some Women,£13.73
../media/cache/38/79/38794d8729a111018260d931e7101de2.jpg,"Fruits Basket, Vol. 4 (Fruits Basket #4)",£50.44
../media/cache/4d/18/4d1891e435c6692c864331c585e0d014.jpg,We Are All Completely Beside Ourselves,£24.04
../media/cache/8e/09/8e09faaea71886048b27959e607e6c7b.jpg,The Smitten Kitchen Cookbook,£23.59
../media/cache/21/bd/21bdf7ae21476b1debf4aa3eefe6f29d.jpg,The Lonely Ones,£43.59
../media/cache/ec/08/ec08efebaa33a403e54080b48c139794.jpg,The Day the Crayons Came Home (Crayons),£26.33
../media/cache/f0/a4/f0a48c8cc6acd322eacd9d35e55d63e7.jpg,Shopaholic & Baby (Shopaholic #5),£46.45
../media/cache/4e/52/4e52f087337abef25de62845f093ed6e.jpg,One for the Money (Stephanie Plum #1),£32.87
../media/cache/d2/c2/d2c259e13fe3097325549a14f996b462.jpg,Lady Renegades (Rebel Belle #3),£53.04
../media/cache/39/2f/392fedbcda7bf8f968d5e6643ea5545f.jpg,Golden (Heart of Dread #3),£42.21
../media/cache/65/7b/657b1d20ea50775c5c87e039ed8aeebc.jpg,Cosmos,£36.17
../media/cache/71/d1/71d199b2abd878b9943dc818b77a1e72.jpg,Are We Smart Enough to Know How Smart Animals Are?,£56.58
../media/cache/e0/22/e0221ab11b1d093a2d03927b4962c544.jpg,Girl Online On Tour (Girl Online #2),£53.47
../media/cache/08/14/0814f26516fb72b7391d0a742b5928a2.jpg,The Selfish Gene,£29.45
../media/cache/bb/cd/bbcd1a94ebc9fb56f8d079df4557f8e2.jpg,The Communist Manifesto,£14.76
../media/cache/3f/f3/3ff3f7a0f3c949bb7adbe5f7fe80b9ab.jpg,One Second (Seven #7),£52.94
../media/cache/7c/c1/7cc13a8fb238202250e87843c1a62f94.jpg,"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28
../media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,"1,000 Places to See Before You Die",£26.08
